ABBRV	SOURCE	NUM_DEF	DEFINITION
I	SEDOM	7	Izquierda
I	SEDOM	7	o
I	SEDOM	7	Símbolo químico del yodo
J	SEDOM	2	Juicio
J	SEDOM	2	Símbolo de Joule 
J	SEDOM	2	julio
Ad-	SEDOM	1	Prefijo que significa a o hacia
K	SEDOM	5	escala de
K	SEDOM	5	Karnofsky 
K	SEDOM	5	unidad de temperatura termodinámica
K	SEDOM	5	Kelvin 
K	SEDOM	5	Símbolo químico del potasio 
K	SEDOM	5	kalium en latín
K	SEDOM	5	Vitamina K 
K	SEDOM	5	Factor antihemorrágico
K	SEDOM	5	Kilo
k	SEDOM	5	escala de
k	SEDOM	5	Karnofsky 
k	SEDOM	5	unidad de temperatura termodinámica
k	SEDOM	5	Kelvin 
k	SEDOM	5	Símbolo químico del potasio 
k	SEDOM	5	kalium en latín
k	SEDOM	5	Vitamina K 
k	SEDOM	5	Factor antihemorrágico
k	SEDOM	5	Kilo
L	SEDOM	8	Lactancia
L	SEDOM	8	Leucemia
L	SEDOM	8	Leucocito
L	SEDOM	8	Linfocito
L	SEDOM	8	Lóbulo
L	SEDOM	8	Lumbar
L	SEDOM	8	Símbolo de litro
l	SEDOM	8	Lactancia
l	SEDOM	8	Leucemia
l	SEDOM	8	Leucocito
l	SEDOM	8	Linfocito
l	SEDOM	8	Lóbulo
l	SEDOM	8	Lumbar
l	SEDOM	8	Símbolo de litro
M	SEDOM	7	Médico
M	SEDOM	7	Menopausia
M	SEDOM	7	Miembro
M	SEDOM	7	Miopía
M	SEDOM	7	Monocito
M	SEDOM	7	Mes
M	SEDOM	7	símbolo de la unidad de longitud en el Sistema Internacional de Unidades
M	SEDOM	7	Metro 
m	SEDOM	7	Médico
m	SEDOM	7	Menopausia
m	SEDOM	7	Miembro
m	SEDOM	7	Miopía
m	SEDOM	7	Monocito
m	SEDOM	7	Mes
m	SEDOM	7	símbolo de la unidad de longitud en el Sistema Internacional de Unidades
m	SEDOM	7	Metro 
N	SEDOM	7	Neutrófilo
N	SEDOM	7	Normal
N	SEDOM	7	Nutrición
N	SEDOM	7	Símbolo químico del nitrógeno
N	SEDOM	7	Nano 
N	SEDOM	7	símbolo del submúltiplo 10-9
N	SEDOM	7	Neutrón
N	SEDOM	7	Número de observaciones o tamaño de la muestra
n	SEDOM	7	Neutrófilo
n	SEDOM	7	Normal
n	SEDOM	7	Nutrición
n	SEDOM	7	Símbolo químico del nitrógeno
n	SEDOM	7	Nano 
n	SEDOM	7	símbolo del submúltiplo 10-9
n	SEDOM	7	Neutrón
n	SEDOM	7	Número de observaciones o tamaño de la muestra
BDP	SEDOM	2	Benzodiacepina
BDP	SEDOM	2	Brocodisplasia
O	SEDOM	5	Oído
O	SEDOM	5	Ojo
O	SEDOM	5	Oncovin® 
O	SEDOM	5	Vincristina
O	SEDOM	5	Orina
O	SEDOM	5	Símbolo químico del oxígeno
SFA	SEDOM	4	Síndrome febril agudo
SFA	SEDOM	4	Síndrome femoroacetabular
SFA	SEDOM	4	Stent farmacoactivo
SFA	SEDOM	4	Sufrimiento fetal agudo
P	SEDOM	12	Brazo corto del cromosoma
P	SEDOM	12	Cisplatino
P	SEDOM	12	Onda del electrocardiograma de la despolarización de la aurícula
P	SEDOM	12	Percentil
P	SEDOM	12	Plasma
P	SEDOM	12	Post
P	SEDOM	12	Prevalencia
P	SEDOM	12	Proteína
P	SEDOM	12	Protón
P	SEDOM	12	Pulso
P	SEDOM	12	Símbolo químico del fósforo
Q	SEDOM	5	Flujo sanguíneo 
Q	SEDOM	5	volumen/tiempo
Q	SEDOM	5	Parte inicial del complejo QRS del electrocardiograma
Q	SEDOM	5	Quimioterapia
Q	SEDOM	5	Quiste
Q	SEDOM	5	Brazo largo del cromosoma
q	SEDOM	5	Flujo sanguíneo 
q	SEDOM	5	volumen/tiempo
q	SEDOM	5	Parte inicial del complejo QRS del electrocardiograma
q	SEDOM	5	Quimioterapia
q	SEDOM	5	Quiste
q	SEDOM	5	Brazo largo del cromosoma
SFC	SEDOM	1	Síndrome de fatiga crónica
R	SEDOM	8	Radioterapia
R	SEDOM	8	Remisión
R	SEDOM	8	Renal
R	SEDOM	8	Resistente
R	SEDOM	8	Respiración
R	SEDOM	8	Riñón
R	SEDOM	8	Roentgen, unidad internacional de la radiación x o gamma
R	SEDOM	8	Cromosoma en anillo
r	SEDOM	8	Radioterapia
r	SEDOM	8	Remisión
r	SEDOM	8	Renal
r	SEDOM	8	Resistente
r	SEDOM	8	Respiración
r	SEDOM	8	Riñón
r	SEDOM	8	Roentgen, unidad internacional de la radiación x o gamma
r	SEDOM	8	Cromosoma en anillo
S	SEDOM	9	Sacro
S	SEDOM	9	Sangre
S	SEDOM	9	Semana
S	SEDOM	9	Sensible
S	SEDOM	9	Servicio
S	SEDOM	9	Símbolo químico del azufre
S	SEDOM	9	Síndrome
S	SEDOM	9	Sistólico
S	SEDOM	9	En el Sistema Internacional de Unidades, símbolo del segundo 
S	SEDOM	9	unidad de tiempo
s	SEDOM	9	Sacro
s	SEDOM	9	Sangre
s	SEDOM	9	Semana
s	SEDOM	9	Sensible
s	SEDOM	9	Servicio
s	SEDOM	9	Símbolo químico del azufre
s	SEDOM	9	Síndrome
s	SEDOM	9	Sistólico
s	SEDOM	9	En el Sistema Internacional de Unidades, símbolo del segundo 
s	SEDOM	9	unidad de tiempo
T	SEDOM	9	Símbolo de temperatura 
T	SEDOM	9	Celsius
T	SEDOM	9	Símbolo de tiempo
T	SEDOM	9	Student´s t test 
T	SEDOM	9	Prueba t de Student
T	SEDOM	9	Temperatura
T	SEDOM	9	Tiempo
T	SEDOM	9	Timo
T	SEDOM	9	Torácico o dorsal
T	SEDOM	9	Translocación
T	SEDOM	9	Tumor
U	SEDOM	5	Unidad
U	SEDOM	5	Uracilo
U	SEDOM	5	Uranio
U	SEDOM	5	Urología
U	SEDOM	5	Útero
V	SEDOM	7	Cinco 
V	SEDOM	7	número romano
V	SEDOM	7	Vacuna
V	SEDOM	7	Vacunación
V	SEDOM	7	Vena
V	SEDOM	7	Visión o agudeza visual
V	SEDOM	7	Voltio
V	SEDOM	7	Volumen
W	SEDOM	1	Símbolo químico del wolframio o tungsteno
X	SEDOM	1	Xantosina
BDZ	SEDOM	1	Benzodiazepina
17KGS	SEDOM	1	17-Ketogenosteroids 
17KGS	SEDOM	1	17-cetogenosteroides
RNAT PAEG	SEDOM	1	Recién nacido a término con peso adecuado para la edad gestacional
BEG	SEDOM	1	en la exploración física
BEG	SEDOM	1	Buen estado general 
BEI	SEDOM	2	en auscultación cardiaca
BEI	SEDOM	2	Borde esternal izquierdo 
BEI	SEDOM	2	Butanol-extractable iodine 
BEI	SEDOM	2	Yodo extraíble con butanol
h	SEDOM	3	Altura
h	SEDOM	3	Hematíe
h	SEDOM	3	Hora
BEM	SEDOM	1	Biopsia endomiocárdica
BEP	SEDOM	1	Bleomicina, etopósido y cisplatino, quimioterapia
SGA	SEDOM	1	Estreptococo del grupo A
SGA	SEDOM	1	Streptococcus group A 
Dolico-	SEDOM	1	Prefijo que indica relación con largo
SGC	SEDOM	2	Semanas de gestación corregidas
SGC	SEDOM	2	Swan-Ganz catheter
SLAP	SEDOM	1	Superior Labrum from Anterior to Posterior 
SLAP	SEDOM	1	Lesión en SLAP o lesion del labrum o rodete glenoideo
SGB	SEDOM	2	Síndrome de Guillain-Barré
SGB	SEDOM	2	Streptococcus del grupo B
SGE	SEDOM	1	Síndrome general
Ref	SEDOM	1	Referencia bibliográfica
CVES	SEDOM	1	Cardioversión eléctrica sincronizada
SGS	SEDOM	1	Suero glucosalino
SGT	SEDOM	1	Síndrome de Guilles de la Tourette
RR2T	SEDOM	1	Ritmo regular en dos tiempos
LPAA	SEDOM	1	Ligamento peroneo astragalino anterior
STUB	SEDOM	1	Sintomas del tracto urinario bajo
SHA	SEDOM	1	Síndrome de hiperlaxitud articular
APAB	SEDOM	1	Ácido para-aminobenzoico
BFU	SEDOM	1	Burst-forming unit 
BFU	SEDOM	1	Unidad formadora de brotes o célula madre
LPAP	SEDOM	1	Ligamento peroneo-astragalino posterior
SHE	SEDOM	1	Sindrome hipertensivo del embarazo
SHH	SEDOM	1	  Sindrome hiperosmolas hiperglucémico
STUI	SEDOM	1	Síntomas del tracto urinario inferior
SHI	SEDOM	2	Síndrome de hipertensión intracraneal
SHI	SEDOM	2	Síndrome hipereosinófilo idiopático
NEFA	SEDOM	1	 Nonesterified fatty acid 
NEFA	SEDOM	1	Ácidos grasos no esterificados
SHP	SEDOM	1	Sin hallazgos patológicos
TIP	SEDOM	3	Tubularized incised plate 
TIP	SEDOM	3	Tubularización de la placa uretral
tip	SEDOM	3	Tubularized incised plate 
tip	SEDOM	3	Tubularización de la placa uretral
SHO	SEDOM	3	Síndrome de hiperestimulación ovárica
SHO	SEDOM	3	Síndrome de hiperfunción ovárica
SHO	SEDOM	3	Síndrome de hipoventilación-obesidad
TVPNS	SEDOM	1	Taquicardia ventricular polimórfica no sostenida
SHR	SEDOM	2	Síndrome hepatorrenal
SHR	SEDOM	2	Síndrome hombre rojo
BGA	SEDOM	1	Banda gástrica ajustable
BGC	SEDOM	2	Bajo gasto cardiaco
BGC	SEDOM	2	Biopsia del ganglio centinela
SHU	SEDOM	1	Síndrome hemolítico urémico
HCDSNS	SEDOM	1	Historia Clínica Digital del Sistema Nacional de Salud
BGN	SEDOM	1	Bacilo gramnegativo
BGP	SEDOM	1	Bacilo grampositivo
SIA	SEDOM	2	Septo interauricular
SIA	SEDOM	2	Síndrome isquémico agudo
SIC	SEDOM	2	Síndrome del intestino corto
SIC	SEDOM	2	Síndrome isquémico crónico
SIE	SEDOM	1	Sistema de información económico
SID	SEDOM	1	Sacroilíaca derecha
SII	SEDOM	2	Sacroilíaca izquierda
SII	SEDOM	2	Síndrome del intestino irritable
SIM	SEDOM	1	Sistema de información médica
SIL	SEDOM	1	Lesión intraepitelial escamosa
SIL	SEDOM	1	 Squamous intraepithelial lesion 
SIO	SEDOM	1	Síndrome de isquemia ocular
SIS	SEDOM	1	Sistema de información sanitaria
Síndr	SEDOM	1	Síndrome
SIR	SEDOM	1	SOBREINFECCION RESPIRATORIA
BHE	SEDOM	1	Barrera hematoencefálica
APAS	SEDOM	1	Ácido para-aminosalicílico
rHu-EPO	SEDOM	1	Recombinant human erythropoyetin 
rHu-EPO	SEDOM	1	Eritropoyetina humana recombinante
SIT	SEDOM	1	Situs inversus torácico
Ausc.	SEDOM	1	Auscultación
SIV	SEDOM	1	Septo interventricular
SCUF	SEDOM	1	Slow continous ultrafiltration
BHP	SEDOM	1	Biopsia hepática percutánea
BHR	SEDOM	1	Barrera hematorretiniana
CINCA	SEDOM	1	Chronic infantile neurologic cutaneous and articular syndrome
Factor tisular	SEDOM	1	Factor III de la coagulación
Ø	SEDOM	3	Diámetro
Ø	SEDOM	3	Negativo
Ø	SEDOM	3	Normal
BIA	SEDOM	1	Balón intraaórtico
BID	SEDOM	1	Bis in die 
BID	SEDOM	1	Dos al día o dos veces al día
BIC	SEDOM	1	Bomba de infusión contínua
HCTZ	SEDOM	1	Hidroclorotiazida
TVPMI	SEDOM	1	Trombosis venosa profunda de miembros inferiores
CEIC	SEDOM	1	Comité ético de investigación clínica
SIHAD	SEDOM	1	Secreción inadecuada de hormona antidiurética, síndrome
BIO	SEDOM	2	Biopsia intraoperatoria
BIO	SEDOM	2	Servicio de
BIO	SEDOM	2	Bioquímica clínica 
BIT	SEDOM	1	Banda iliotibial
BSGC	SEDOM	1	Biopsia selectiva del ganglio centinela
CCRHNP	SEDOM	1	Cáncer colorrectal hereditario no polipósico
TVPMS	SEDOM	1	Trombosis venosa profunda de miembros superiores. 
SKT	SEDOM	1	Síndrome de Klippel-Trenaunay
FADSP	SEDOM	1	Federación de Asociaciones por la Defensa de la Sanidad Pública
RIES	SEDOM	1	Razón de incidencia estandarizada suavizada
cm3	SEDOM	1	Centímetro cúbico
SLB	SEDOM	1	Simpatectomía lumbar bilateral
PTAI	SEDOM	1	Púrpura trombocitopénica autoinmune
SLD	SEDOM	1	Simpatectomía lumbar derecha
SLF	SEDOM	1	Stent liberador de fármaco
Polaqui	SEDOM	1	Frecuente
SLE	SEDOM	2	Supervivencia libre de enfermedad
SLE	SEDOM	2	Systemic lupus erythematosus 
SLE	SEDOM	2	Lupus eritematoso sistémico
SLG	SEDOM	1	Síndrome de Lennox-Gastaut
GIFT	SEDOM	1	Gamete intrafallopian transfer 
GIFT	SEDOM	1	Transferencia intratubárica de gametos
SLI	SEDOM	1	Simpatectomía lumbar izquierda
FIV-TE	SEDOM	1	Fertilización in vitro y transferencia de embriones
SLN	SEDOM	1	Solnitrina
SLM	SEDOM	1	Síndrome del lóbulo medio
SLP	SEDOM	2	Síndrome linfoproliferativo
SLP	SEDOM	2	Supervivencia libre de progresión.mm
CEIO	SEDOM	1	Cuerpo extraño intraocular
TCP/IP	SEDOM	1	Protocolo de control de transmisión/protocolo de Internet
TCP/IP	SEDOM	1	Transmission Control Protocol/Internet Protocol 
Fisio	SEDOM	1	Función, naturaleza
NUHSA	SEDOM	1	Número único de Historia de Salud de Andalucía. 
SEDOM	SEDOM	1	Sociedad Española de Documentación Médica
Factor Christmas	SEDOM	1	Factor IX de la coagulación
Miringo-	SEDOM	1	Prefijo que indica relación con el tímpano
SMA	SEDOM	4	Sangrado menstrual abundante
SMA	SEDOM	4	Síndrome de mala absorción
SMA	SEDOM	4	Síndrome de meningitis aséptica
SMA	SEDOM	4	Anticuerpo anti músculo liso
SMA	SEDOM	4	Smooth muscle antibody 
SMD	SEDOM	3	Síndrome mielodisplásico
SMD	SEDOM	3	Seno maxilar derecho 
SMD	SEDOM	3	Soplo mesodiastólico
Cito-	SEDOM	1	Prefijo que indica relación con la célula
SMF	SEDOM	2	Síndrome miofascial
SMF	SEDOM	2	Sistema mononuclear fagocítico
SMI	SEDOM	1	Síndrome de malabsorción intestinal
SMH	SEDOM	1	Síndrome de la membrana hialina
SMP	SEDOM	1	Síndrome mieloproliferativo
C-C	SEDOM	1	Cabeza y cuello
Gine-, ginec-	SEDOM	1	Prefijo que indica relación con la mujer o con el aparato reproductor femenino
SMS	SEDOM	3	Servicio Murciano de Salud
SMS	SEDOM	3	Síndrome de la muerte súbita
SMS	SEDOM	3	Soplo mesosistólico
SMR	SEDOM	1	Slope mass rating
SMT	SEDOM	1	Somatostatina
SMW	SEDOM	1	Síndrome de Mallory-Weiss
SMX	SEDOM	1	Sulfametoxazol
VDRL	SEDOM	1	Venereal disease research laboratory
CEM-Cat	SEDOM	1	Centre d'Esclerosi Múltiple de Catalunya
BBIA	SEDOM	1	Bomba de balón intraaórtico
PTCA	SEDOM	1	Angioplastia coronaria transluminal percutánea
PTCA	SEDOM	1	Percutaneous transluminal coronary angioplasty 
SNA	SEDOM	3	Síndrome nefrítico agudo
SNA	SEDOM	3	Síndrome neurológico aislado
SNA	SEDOM	3	Sistema nervioso autónomo
SND	SEDOM	1	Sistema Nacional de Dependencia
SNC	SEDOM	1	Sistema nervioso central
SNG	SEDOM	3	Síndrome del niño golpeado
SNG	SEDOM	3	Sonda nosogástrica
SNG	SEDOM	3	Surco nasogeneano
h.s.	SEDOM	1	hora somni - al acostarse
SNM	SEDOM	3	Neuromodulación sacra
SNM	SEDOM	3	Neuromudulación sacra
SNM	SEDOM	3	Síndrome neuroléptico maligno
SNP	SEDOM	3	Single Nucleotide Polymorphism
SNP	SEDOM	3	Sistema nervioso periférico
SNP	SEDOM	3	Nitroprusiato sódico
SNP	SEDOM	3	Sodium nitroprussiade 
Cervic-	SEDOM	1	Prefijo que indica relación con el cuello
BMC	SEDOM	1	Biomicroscopia o Biomicroscopía
SNS	SEDOM	3	Servicio Nacional de Salud
SNS	SEDOM	3	Sistema Nacional de Salud
SNS	SEDOM	3	Sistema nervioso simpático
SNV	SEDOM	1	Sistema nervioso vegetativo
BMG	SEDOM	2	Injerto de mucosa de la boca
BMG	SEDOM	2	Buccal mucosal graft 
BMI	SEDOM	1	Body mass index 
BMI	SEDOM	1	Índice de masa corporal
Dis-	SEDOM	1	Prefijo que significa dificultad, doloroso, malo, anormal, separación o duplicación
SIL de bajo grado	SEDOM	1	Es una displasia simple de cervix uterino. Equivale a CIN I
BMN	SEDOM	2	Biopsias múltiples normalizadas 
BMN	SEDOM	2	son biopsias de vejiga que se hacen durante una RTU de vejiga en diversas áreas de la misma
BMN	SEDOM	2	Bocio multinodular
LPFC	SEDOM	1	Líquido perfluorocarbonado
BMP	SEDOM	1	Proteína morfogénica ósea
BMO	SEDOM	1	Biopsia de médula ósea
BMR	SEDOM	3	Tasa de metabolismo basal
BMR	SEDOM	3	Basal metabolic rate 
BMR	SEDOM	3	Biopsia múltiple randomizada
BMR	SEDOM	3	Biopsia masa renal
BMR	SEDOM	3	Renal mass biopsy 
SOB	SEDOM	2	Salpingo-ooforectomía bilateral
SOB	SEDOM	2	Síndrome obstructivo bronquial
BMT	SEDOM	1	tratamiento del Helicobacter pylori
BMT	SEDOM	1	Bismuto, metronidazol y tetraciclina 
M + Am	SEDOM	1	Miopía más astigmatismo
2-D	SEDOM	1	Bidimensional
URPA	SEDOM	1	Unidad de recuperación postanestésica
BMV	SEDOM	1	Buen murmullo vesicular
SOG	SEDOM	2	Sobrecarga oral de glucosa
SOG	SEDOM	2	Sonda orogástrica
BMU	SEDOM	1	Biomicroscopía ultrasónica
SOI	SEDOM	2	Síndrome de obstrucción intestinal
SOI	SEDOM	2	Swine origin influenza
SOH	SEDOM	2	Sangre oculta en heces
SOH	SEDOM	2	Síndrome de obesidad-hipoventilación
ETCD	SEDOM	1	Estimulación transcraneal por corriente directa
SOP	SEDOM	1	Síndrome del ovario poliquístico
BNC	SEDOM	1	Bilirrubina no conjugada
PCAA	SEDOM	1	Antígeno asociado al carcinoma de páncreas
BNE	SEDOM	1	Broncoespasmo
NF-1	SEDOM	1	Neurofibromatosis tipo 1, periférica o enfermedad de von Recklinghausen
NF-2	SEDOM	1	Neurofibromatosis tipo 2 o central
NF-3	SEDOM	1	Neurofibromatosis tipo 3 o intestinal
OPIMEC	SEDOM	1	Observatorio de Prácticas Innovadoras en el Manejo de Enfermedades Crónicas
URPO	SEDOM	1	Unidad de recuperación postoperatoria
BNM	SEDOM	1	Bronconeumonía
ETEV	SEDOM	1	Enfermedad tromboembólica venosa
BNP	SEDOM	2	Péptido natriurético tipo B
BNP	SEDOM	2	B-type natriuretic peptide 
BNP	SEDOM	2	Brain natriuretic peptide
SPA	SEDOM	2	Single photon absorptiometry
SPA	SEDOM	2	Sustancia psicoactiva
SPC	SEDOM	1	Sistema pielocalicial
Plug	SEDOM	1	Tapón, obturador
SPF	SEDOM	4	Síndrome patelofemoral
SPF	SEDOM	4	Síndrome postflebítico
SPF	SEDOM	4	Factor de protección solar
SPF	SEDOM	4	Solar protection factor 
SPF	SEDOM	4	Specific pathogen free 
SPF	SEDOM	4	Libre de agentes patógenos específicos
BNT	SEDOM	1	Bocio nodular tóxico
C/T	SEDOM	1	Índice cardiotorácico
SPE	SEDOM	1	Electroforesis de proteínas séricas
SPE	SEDOM	1	Serum protein electrophoresis 
MSLT	SEDOM	1	Multiple Sleep Latency Test. 
MSLT	SEDOM	1	Test de latencia múltiple del sueño
SPJ	SEDOM	1	Síndrome de Peutz-Jeghers
SPI	SEDOM	1	Síndrome de las piernas inquietas
Lp(a)	SEDOM	1	Lipoproteína-a
SPL	SEDOM	2	Según pauta de laboratorio
SPL	SEDOM	2	Nivel de presión sonora
SPL	SEDOM	2	Sound pressure level 
SPP	SEDOM	1	Síndrome postpolio
RNT AEG	SEDOM	1	con peso
RNT AEG	SEDOM	1	Recién nacido a término 
AnB	SEDOM	1	Anfotericina B
SPT	SEDOM	1	Síndrome de Parsonage-Turner 
BOC	SEDOM	2	Bandas oligoclonales
BOC	SEDOM	2	Brocopatía obstructiva crónica
CEMP	SEDOM	1	Campo electromagnético pulsátil
CPM	SEDOM	3	Carpometacarpiana, articulación
CPM	SEDOM	3	Cistograma postmiccional
CPM	SEDOM	3	Ciclos por minuto
cpm	SEDOM	3	Carpometacarpiana, articulación
cpm	SEDOM	3	Cistograma postmiccional
cpm	SEDOM	3	Ciclos por minuto
BOR	SEDOM	3	Bronquitis obstructiva recidivante
BOR	SEDOM	3	Bronquitis obstructiva recurrente
CIEMD	SEDOM	1	Cuadrante inferior externo de mama derecha
AMP	SEDOM	4	Adenosine monophosphate 
AMP	SEDOM	4	Monofosfato de adenosina
AMP	SEDOM	4	Ampicilina
AMP	SEDOM	4	Ampolla
AMP	SEDOM	4	Amperio
Amp	SEDOM	4	Adenosine monophosphate 
Amp	SEDOM	4	Monofosfato de adenosina
Amp	SEDOM	4	Ampicilina
Amp	SEDOM	4	Ampolla
Amp	SEDOM	4	Amperio
cps	SEDOM	3	Ciclos por segundo
cps	SEDOM	3	Carpeta personal de salud
cps	SEDOM	3	Crisis parciales complejas
